trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,customer_id
295780.0,12/26/2023 0:55,579516000000.0,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077.0,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0.0,
863303.0,9/18/2022 23:30,503864000000.0,fraud_Brar-Brahmbhatt Pvt Ltd,travel,2967.16,Anaya,Kamdar,M,"01/28, Chandra Path, Sagar 203284",Bardhaman,Himachal Pradesh,20.201716,-79.78533,845481.0,,2/19/1939,20.215767,-79.790787,0.0,1.06e+18
459941.0,10/6/2022 23:10,376730000000000.0,fraud_Gara Ltd Pvt Ltd,online_shopping,4844.46,Navya,Dhar,M,"653, Korpal Chowk, Bellary-511893",Motihari,Assam,84.267862,55.670045,75153.0,Consulting civil engineer,,84.257491,55.661381,1.0,-5.24e+18
970970.0,5/23/2022 2:28,,fraud_Kade and Sons Pvt Ltd,online_shopping,4346.33,Dishani,Sanghvi,M,"84/74, Sibal Ganj, Ambattur 304534",,Mizoram,,-26.465376,276638.0,Adult guidance worker,12/5/1987,24.399995,,0.0,1.03e+18
596098.0,7/8/2023 15:33,6011110000000000.0,fraud_Din Ltd Pvt Ltd,,4680.19,Pranay,Gera,M,"20/44, Sarna Marg, Ichalkaranji-367844",Khandwa,Jharkhand,11.3734685,85.654722,113895.0,Waste management officer,9/8/1983,,85.653218,1.0,6.12e+17
114571.0,12/31/2023 15:07,180003000000000.0,fraud_Dugar-Krishna Pvt Ltd,fitness_and_medical,4218.36,Dhruv,Basak,M,,Dehradun,Himachal Pradesh,-25.428324,172.292314,705525.0,Operational researcher,4/3/1956,-25.434908,172.283027,0.0,2.82e+18
549430.0,1/15/2024 16:21,3596270000000000.0,fraud_Magar-Amble Pvt Ltd,online_shopping,8463.53,Pari,Karnik,F,"68/94, Chana Path, Vadodara-277116",Kota,Mizoram,33.9828845,-89.27436,320937.0,"Therapist, horticultural",3/9/1969,33.970497,-89.265075,1.0,1.7e+18
125736.0,2/23/2024 20:30,4729600000000.0,,online_shopping,774.15,Shayak,Raja,M,"H.No. 00, Dube Circle, Lucknow-458601",Warangal,,61.2310605,,732559.0,,6/4/1969,61.247111,25.391907,,-6.6e+18
941247.0,3/2/2024 17:29,4481120000000.0,fraud_Chahal-Bala Pvt Ltd,,3980.61,Kimaya,Joshi,,"32, Shukla Zila, Madhyamgram 840443",Orai,Haryana,-6.347741,-60.029472,186019.0,Haematologist,10/29/1994,-6.351083,,1.0,8.59e+17
899756.0,9/12/2022 1:44,30314400000000.0,fraud_Rattan-Bajwa Pvt Ltd,entertainment,2266.66,Dharmajan,Bhat,F,"05/532, Rout Street, Berhampur-190737",,Goa,-5.0962085,47.765325,,Analytical chemist,6/14/2002,-5.082805,47.752476,0.0,6.08e+18
547724.0,9/13/2023 15:53,5363840000000000.0,fraud_Dua and Sons Pvt Ltd,online_shopping,4013.77,Raghav,Uppal,F,"38/126, Konda Road, Kollam-615377",Jorhat,Tamil Nadu,-21.5656345,-84.972519,610770.0,Hotel manager,5/27/1951,-21.576412,-84.972834,0.0,-5.44e+18
670072.0,1/26/2024 11:01,3507850000000000.0,,fitness_and_medical,2266.55,Jivin,Solanki,M,"H.No. 81, Gade Street, Begusarai 029320",Miryalaguda,Tamil Nadu,-48.317118,-24.209989,333286.0,Chartered accountant,4/26/2000,,-24.190722,0.0,-7.74e+18
555285.0,4/18/2022 16:15,6011860000000000.0,"fraud_Mallick, Walia and Karan Pvt Ltd",travel,7377.0,Mishti,Tandon,F,"45, Sagar Zila, Udaipur-072803",Panvel,Assam,-56.610637,-108.960791,916731.0,Research scientist (physical sciences),3/31/1976,-56.616947,-108.979671,1.0,-3.97e+18
756974.0,5/5/2022 14:31,4943450000000.0,fraud_Ray-Hegde Pvt Ltd,online_shopping,2045.89,Vanya,Sarraf,M,"556, Kata Zila, Jhansi-935082",Tenali,Kerala,-38.1978205,-61.695542,548813.0,Musician,8/6/1965,-38.185459,-61.7113,1.0,3.97e+18
508037.0,7/14/2023 12:32,213162000000000.0,fraud_Dara-Samra Pvt Ltd,online_shopping,1153.17,Kiaan,Goel,M,"81/34, Thakkar Marg, Ballia-244000",Dibrugarh,Andhra Pradesh,52.4248485,-53.759626,707956.0,Occupational psychologist,4/9/1992,52.419008,-53.748424,0.0,8.61e+18
